Date,Adj Close,Close,High,Low,Open,Volume
2024-02-05,4.289999961853027,4.289999961853027,4.489999771118164,4.25,4.420000076293945,94700
2024-02-06,4.300000190734863,4.300000190734863,4.409999847412109,4.25,4.25,126600
2024-02-07,4.900000095367432,4.900000095367432,5.039999961853027,4.400000095367432,4.53000020980835,459400
2024-02-08,5.28000020980835,5.28000020980835,5.449999809265137,4.96999979019165,5.010000228881836,377300
2024-02-09,6.199999809265137,6.199999809265137,6.329999923706055,5.28000020980835,5.28000020980835,832800
2024-02-12,6.480000019073486,6.480000019073486,6.519999980926514,6.03000020980835,6.210000038146973,497400
2024-02-13,6.309999942779541,6.309999942779541,7.03000020980835,6.119999885559082,6.300000190734863,508100
2024-02-14,6.150000095367432,6.150000095367432,6.440000057220459,5.840000152587891,6.440000057220459,406500
2024-02-15,6.489999771118164,6.489999771118164,6.53000020980835,5.989999771118164,6.099999904632568,232900
2024-02-16,7.010000228881836,7.010000228881836,7.03000020980835,6.489999771118164,6.489999771118164,314300
2024-02-20,6.739999771118164,6.739999771118164,7.5,6.159999847412109,7.099999904632568,477000
2024-02-21,6.75,6.75,6.949999809265137,6.480000019073486,6.690000057220459,212800
2024-02-22,6.699999809265137,6.699999809265137,6.989999771118164,6.610000133514404,6.789999961853027,241400
2024-02-23,6.980000019073486,6.980000019073486,6.980000019073486,6.599999904632568,6.699999809265137,242900
2024-02-26,7.539999961853027,7.539999961853027,7.699999809265137,6.940000057220459,7.0,638700
2024-02-27,7.349999904632568,7.349999904632568,7.869999885559082,7.079999923706055,7.539999961853027,623200
2024-02-28,6.900000095367432,6.900000095367432,7.320000171661377,6.869999885559082,7.300000190734863,330800
2024-02-29,6.900000095367432,6.900000095367432,7.110000133514404,6.670000076293945,6.960000038146973,251100
2024-03-01,7.809999942779541,7.809999942779541,7.869999885559082,6.920000076293945,7.0,1159800
2024-03-04,7.809999942779541,7.809999942779541,8.239999771118164,7.449999809265137,7.949999809265137,498200
2024-03-05,8.460000038146973,8.460000038146973,8.699999809265137,7.599999904632568,7.739999771118164,484600
2024-03-06,8.680000305175781,8.680000305175781,9.010000228881836,8.119999885559082,8.569999694824219,408200
2024-03-07,8.25,8.25,8.8100004196167,8.1899995803833,8.699999809265137,425700
2024-03-08,7.96999979019165,7.96999979019165,8.399999618530273,7.840000152587891,8.390000343322754,262600
2024-03-11,7.809999942779541,7.809999942779541,8.109999656677246,7.71999979019165,7.880000114440918,405200
2024-03-12,8.180000305175781,8.180000305175781,8.479999542236328,7.400000095367432,7.71999979019165,478900
2024-03-13,8.229999542236328,8.229999542236328,8.399999618530273,7.800000190734863,8.199999809265137,251800
2024-03-14,8.140000343322754,8.140000343322754,8.380000114440918,7.960000038146973,8.180000305175781,212700
2024-03-15,8.630000114440918,8.630000114440918,8.869999885559082,8.029999732971191,8.109999656677246,462200
2024-03-18,6.989999771118164,6.989999771118164,7.940000057220459,6.650000095367432,7.900000095367432,1397800
2024-03-19,7.570000171661377,7.570000171661377,7.670000076293945,6.769999980926514,7.0,830200
2024-03-20,7.53000020980835,7.53000020980835,7.739999771118164,7.409999847412109,7.519999980926514,370900
2024-03-21,7.53000020980835,7.53000020980835,7.739999771118164,7.269999980926514,7.570000171661377,316800
2024-03-22,7.610000133514404,7.610000133514404,7.829999923706055,7.449999809265137,7.480000019073486,171400
2024-03-25,7.400000095367432,7.400000095367432,7.679999828338623,7.340000152587891,7.53000020980835,167600
2024-03-26,7.360000133514404,7.360000133514404,7.519999980926514,7.159999847412109,7.21999979019165,198600
2024-03-27,7.340000152587891,7.340000152587891,7.610000133514404,7.28000020980835,7.46999979019165,131100
2024-03-28,7.25,7.25,7.460000038146973,7.099999904632568,7.269999980926514,267300
2024-04-01,7.71999979019165,7.71999979019165,7.769999980926514,7.099999904632568,7.21999979019165,209400
2024-04-02,7.480000019073486,7.480000019073486,7.679999828338623,7.300000190734863,7.599999904632568,229800
2024-04-03,8.050000190734863,8.050000190734863,8.119999885559082,7.460000038146973,7.519999980926514,230300
2024-04-04,7.699999809265137,7.699999809265137,8.279999732971191,7.619999885559082,8.050000190734863,173200
2024-04-05,7.440000057220459,7.440000057220459,7.820000171661377,7.320000171661377,7.639999866485596,218300
2024-04-08,7.519999980926514,7.519999980926514,7.570000171661377,7.119999885559082,7.389999866485596,209700
2024-04-09,7.440000057220459,7.440000057220459,7.679999828338623,7.179999828338623,7.53000020980835,128400
2024-04-10,7.360000133514404,7.360000133514404,7.369999885559082,7.059999942779541,7.230000019073486,160800
2024-04-11,7.789999961853027,7.789999961853027,7.840000152587891,7.320000171661377,7.349999904632568,173500
2024-04-12,7.550000190734863,7.550000190734863,7.840000152587891,7.429999828338623,7.690000057220459,188000
2024-04-15,7.639999866485596,7.639999866485596,7.690000057220459,7.440000057220459,7.559999942779541,113700
2024-04-16,7.760000228881836,7.760000228881836,7.889999866485596,7.53000020980835,7.599999904632568,218600
2024-04-17,7.929999828338623,7.929999828338623,8.449999809265137,7.730000019073486,7.760000228881836,729600
2024-04-18,7.53000020980835,7.53000020980835,8.170000076293945,7.510000228881836,7.949999809265137,246000
2024-04-19,7.570000171661377,7.570000171661377,7.690000057220459,7.199999809265137,7.5,386300
2024-04-22,7.360000133514404,7.360000133514404,7.730000019073486,7.260000228881836,7.630000114440918,1028000
2024-04-23,3.4100000858306885,3.4100000858306885,4.25,3.3399999141693115,3.809999942779541,5512800
2024-04-24,3.1700000762939453,3.1700000762939453,3.5199999809265137,3.140000104904175,3.450000047683716,2219400
2024-04-25,3.190000057220459,3.190000057220459,3.2799999713897705,3.049999952316284,3.1700000762939453,1104100
2024-04-26,3.259999990463257,3.259999990463257,3.380000114440918,3.200000047683716,3.2699999809265137,1210900
2024-04-29,3.440000057220459,3.440000057220459,3.7799999713897705,3.369999885559082,3.490000009536743,2100000
2024-04-30,4.139999866485596,4.139999866485596,4.210000038146973,3.440000057220459,3.4600000381469727,2229200
2024-05-01,3.9100000858306885,3.9100000858306885,4.400000095367432,3.75,4.130000114440918,1219200
2024-05-02,4.070000171661377,4.070000171661377,4.28000020980835,3.8399999141693115,3.950000047683716,756500
